date,rl3_ai,spy_buy_hold,current_universe_equal_weight,simple_60d_momentum
2026-03-12,110890.45916453958,107332.08629271941,108301.71532421996,134448.3418047799
2026-03-13,111159.7801147788,106724.57211369189,108256.35522539717,134024.71557387477
2026-03-16,112056.77496535574,107810.69367739167,109077.54001919791,136348.42418317834
2026-03-17,113219.20646525882,108094.29455763235,109669.49197005008,137480.2986776378
2026-03-18,112013.71427818337,106585.98519724766,108196.6346326827,136845.83555232495
2026-03-19,112489.57092281859,106323.3167158449,108199.850830925,137868.50039812503
2026-03-20,110237.95149766175,104799.09794132216,106593.51248982277,134943.43686706165
2026-03-23,111379.83810031725,105899.4875501439,107763.55761136417,136451.98862692987
2026-03-24,110941.6674575552,105544.0026172099,107885.86054608038,138201.23200524267
2026-03-25,111536.89703351565,106132.16643982465,108416.97029873007,138959.23550612747
2026-03-26,109895.89431664154,104236.7807368285,107386.41831481861,134311.53763695233
2026-03-27,107889.72538101503,102459.34618439336,105941.58578014905,134087.1113121045
2026-03-30,107594.60546874529,102116.78456051991,105675.3579978085,130811.35617446335
2026-03-31,111120.6439973042,105085.10154849607,107943.24022984695,133476.66127605963
2026-04-01,111765.05148957936,105876.86434346407,108333.67850375824,134089.52089424868
2026-04-02,112338.4646446104,105972.20217511042,108647.16233301873,135069.00175599125
2026-04-06,112995.96894324342,106473.11635797747,109131.5231855459,135352.78999948106
2026-04-07,112848.71222822975,106519.96458929259,108864.46427499529,136263.56768634927
2026-04-08,116376.20917981991,109232.98936867333,111533.45714820095,137612.65860360913
2026-04-09,116037.25040050816,109863.15641767615,111613.95711899185,136843.82752430497
2026-04-10,116565.34231139318,109790.45168047477,110815.52666148271,137831.93371276907
2026-04-13,118403.47089830384,110863.37307768961,112155.33874877368,138917.52591592955
2026-04-14,119786.62208352698,112214.22966571002,112687.4832873798,138576.0666643417
2026-04-15,119725.52938666764,113099.70869883859,112724.09302206335,138239.69497597005
2026-04-16,120792.90670404909,113377.63400187899,113251.41971301244,139469.3141419955
2026-04-17,122409.35078648147,114747.8804973728,114715.83796345386,138150.54439829898
2026-04-20,123544.68641747124,114518.41513136815,115055.0583423269,138645.58981007474
2026-04-21,122859.2157522358,113768.67533831851,114346.18379653922,139658.61038325282
2026-04-22,123575.7197045067,114920.77795891273,114374.43184011143,141096.37644208802
2026-04-23,122357.5749486417,114474.80019925945,114275.39366406223,141488.93695077582
2026-04-24,123592.54160238366,115361.9008258738,114138.1233697927,142314.07206453168
2026-04-27,122976.86070048326,115560.64490553483,113919.33124008217,142270.06655271864
2026-04-28,121234.759864816,114998.32770104117,113350.21999128415,140087.93891823373
2026-04-29,121536.25070056616,114980.55938705355,113093.96890030504,141891.5470529947
2026-04-30,123880.61127404332,116124.57381574913,114715.6722921996,144554.885112425
2026-05-01,124326.85942769748,116446.13382642856,114408.70068638158,145286.26849590076
2026-05-04,123565.01180283155,116019.54597424867,113702.48107007622,146122.7701035509
2026-05-05,125100.10942856147,116950.28130850203,114534.86208118539,148141.18912025337
2026-05-06,127911.94218781579,118575.82001259127,115530.55989191971,148963.74362152244
2026-05-07,126650.21659366584,118212.25677552378,114880.3882784861,145857.53263789858
2026-05-08,127788.91657192733,119188.22863537163,115107.0353942612,148077.30645747297
2026-05-11,127004.10347633733,119459.6873399992,114889.90260210399,151670.25103272154
2026-05-12,126318.07186609751,119278.71157432577,114796.77576158021,150227.92409868253
2026-05-13,125398.22381466046,119946.05662031991,114292.86636295785,151041.29934015326
2026-05-14,125834.29716983264,120892.94856284025,114732.59395217084,150914.32166498742
2026-05-15,123992.84988398463,119438.68572680517,113558.42644964017,149443.68122485184
2026-05-18,124076.96648773811,119354.65949849873,114353.61201196947,147273.60748139836
2026-05-19,122855.18490961076,118559.6634043243,113720.22549923716,147402.06086192903
2026-05-20,125173.69323445334,119774.78075226577,114974.96922638298,148312.2459445892
2026-05-21,125953.55429564773,120012.30464687358,115388.12728843132,149910.7893036425
2026-05-22,127294.18764586229,120484.13891241312,116398.88928525946,150481.57062631278
2026-05-26,128151.6552568729,121283.98989927977,116837.55080147705,152215.66834844326
2026-05-27,128774.32405458298,121262.97839832059,116812.17598843569,151035.97615214673
2026-05-28,129989.2160742399,121931.93515003535,117273.58546680858,152420.91620836128
2026-05-29,130749.76515240448,122235.71695896202,117401.48832442732,153825.8914465997
2026-06-01,131137.54458594744,122568.57868521618,117589.69184026052,154914.68389903603
2026-06-02,131177.32886550677,122735.01943610843,117863.22015072998,157003.94335303426
2026-06-03,130376.25549692434,121873.76542761517,117297.72633366665,157130.77742058047
2026-06-04,131539.42654786704,122334.28808981479,118402.96303897133,156481.41363494302
2026-06-05,129215.8755806716,119176.91703203172,117156.38978510686,152405.02021115512
2026-06-08,129516.77939852558,119446.7541431735,116849.304237038,153396.07517852122
2026-06-09,130430.86040137934,119096.12410293172,117912.29426862676,152288.39132682927
2026-06-10,128570.5438541416,117218.50671392317,116479.12915812823,150795.70876622095
2026-06-11,130924.61284198704,119210.85184205146,118069.62246652078,153923.23547491248
2026-06-12,131749.22103291948,119855.57368136577,118994.59846385231,154727.8951632216
2026-06-15,132879.79175368944,121969.10325926152,119383.15237170439,156988.89477146207
2026-06-16,132309.00321130725,121241.97678512655,119229.74309577829,155524.25413205542
2026-06-17,130138.52981962114,119727.92263318549,117295.17665546069,155812.0415359201
2026-06-18,130897.29221472176,120972.73293989422,117716.68428933185,157075.9987255605
2026-06-22,130671.73054630286,120592.0342058092,117820.28149491482,158144.714274317
2026-06-23,129901.61986197732,118840.80223104081,117472.48816373287,155679.59128451426
2026-06-24,130715.65746027498,118785.71749134969,118334.90844962171,155366.70271801006
2026-06-25,131406.34994947034,118957.43830883592,119112.56536425075,156544.94497904365
2026-06-26,132783.51558545462,118097.212627919,119736.40535200525,154097.4837623129
2026-06-29,133315.8971815633,120042.84795344438,119891.31340288674,156522.16770909587
2026-06-30,133295.68551815374,120977.5977203516,119749.07425434925,158177.71776492213
2026-07-01,134647.21439897598,120813.97498252918,120219.43486837321,156583.89738535756
2026-07-02,135852.28671970012,120655.21702516412,121268.99983630086,153434.26129870935
2026-07-06,135826.84621365526,121708.22446335224,121276.7273047004,154291.77342973475
2026-07-07,135395.5711971208,121129.87919153864,121274.07642738232,152224.8214582427
2026-07-08,133707.3228449218,120755.65694363162,119883.14386599696,152681.39869523502
2026-07-09,134690.38506398766,121777.88376888516,120577.59199524521,154907.19335783
2026-07-10,134634.95886023543,122302.76589449342,121000.53601263887,154113.852670377
