date,rl3_ai,spy_buy_hold,point_in_time_equal_weight,simple_60d_momentum
2026-01-08,100000.0,111110.93305393207,107536.39178537476,118531.56551304455
2026-01-09,100000.0,111845.75220935937,108107.12505108949,119325.7008604115
2026-01-12,100000.0,112021.39846961304,108166.03143745054,120405.8749519223
2026-01-13,100000.0,111797.41092550551,108203.1289549783,121306.48988132109
2026-01-14,100000.0,111247.8983768905,108674.52144988046,121367.29671211733
2026-01-15,100000.0,111550.8595013091,109212.15985459932,121364.83919153093
2026-01-16,100000.0,111457.39045727748,108879.03019037873,120532.8365767919
2026-01-20,100000.0,109188.4746499353,107183.85803607795,119156.45062703219
2026-01-21,100000.0,110448.63076816812,108976.23363020387,121818.4387508824
2026-01-22,100000.0,111025.53242626876,109189.06272366324,122150.98509168973
2026-01-23,100000.0,111065.8052937543,108702.9258714991,121347.78871060397
2026-01-26,100000.0,111629.82319385502,108942.44967988828,121723.99172745217
2026-01-27,100000.0,112074.5748706288,108760.80943798572,122629.04553136406
2026-01-28,100000.0,112063.29293058437,108414.90343865217,123416.23505435369
2026-01-29,100000.0,111840.91709219747,108478.54228283503,123109.87288613872
2026-01-30,100000.0,111507.35333461713,108169.04184078843,120730.2918699923
2026-02-02,100000.0,112061.68122486373,108592.22831588687,122707.09068581414
2026-02-03,100000.0,111114.15646537332,108203.09041412872,123312.16886300717
2026-02-04,100000.0,110575.93574456792,109510.09975086658,121987.73562006949
2026-02-05,100000.0,109194.92147281785,108453.5384128577,119725.57199834225
2026-02-06,100000.0,111289.80272562699,110384.08438054162,122786.40265565409
2026-02-09,100000.0,111826.41174071176,110412.65548406722,123267.85917542975
2026-02-10,100000.0,111531.51903266148,110867.35082027245,122843.55420859712
2026-02-11,100000.0,111505.7416288965,110958.81399180835,124587.68982603411
2026-02-12,100000.0,109783.10507096292,109375.20920450415,122759.49673485945
2026-02-13,100000.0,109860.44717002305,110503.3327792821,124260.81297071095
2026-02-17,100000.0,110037.70513599734,110277.23327835697,124271.278448757
2026-02-18,100000.0,110592.0429140091,110927.51673385075,125808.7439730211
2026-02-19,100000.0,110300.3736174001,110587.19571152878,124708.25612150897
2026-02-20,100000.0,111098.04929593214,111105.19447200447,125662.98785542793
2026-02-23,100000.0,109963.58644837848,109780.44781542828,125038.05183620956
2026-02-24,100000.0,110762.85405710085,110701.88177264814,126067.65584215884
2026-02-25,100000.0,111697.5049463565,110699.73516468274,127006.7531533524
2026-02-26,100000.0,111077.08723379874,111479.76091486245,126016.05359308021
2026-02-27,100000.0,110543.70163015524,111644.84761072167,125651.5406449369
2026-03-02,100000.0,110606.54826549481,111440.09841941601,124401.81387735739
2026-03-03,100000.0,109631.63439651878,110327.15642757036,120715.99249914286
2026-03-04,100000.0,110405.12460147616,110737.11644739317,122168.00840060435
2026-03-05,100000.0,109789.5420060803,109785.8892740805,119925.91588383332
2026-03-06,100000.0,108350.51621615257,108492.37577554793,117257.17419234903
2026-03-09,100000.0,109299.66256912876,108641.94636554584,119504.94843184348
2026-03-10,100000.0,109124.0163088751,107645.80324067177,120091.66058722242
2026-03-11,100000.0,108987.05098591666,107240.81600678658,120201.53971504909
2026-03-12,100000.0,107332.08629271941,105582.9540732151,117948.55560807807
2026-03-13,100000.0,106724.57211369189,105531.22872263112,117515.78851803824
2026-03-16,100000.0,107810.69367739167,106207.23012463946,119044.99581943742
2026-03-17,100000.0,108094.29455763235,106753.52885800017,120018.11770367861
2026-03-18,100000.0,106585.98519724766,105286.70167738968,118937.92807090998
2026-03-19,100000.0,106323.3167158449,105194.93482230627,119310.92133837238
2026-03-20,100000.0,104799.09794132216,103725.19031559644,117102.96319099375
2026-03-23,100000.0,105899.4875501439,104785.59929061822,118283.48579988218
2026-03-24,100000.0,105544.0026172099,104825.4787479037,119371.84343745689
2026-03-25,100000.0,106132.16643982465,105297.07770658306,119819.48548563012
2026-03-26,100000.0,104236.7807368285,104527.72435591859,116767.19803717684
2026-03-27,100000.0,102459.34618439336,103075.74895798313,115867.006970557
2026-03-30,100000.0,102116.78456051991,102960.57006916184,113181.67098134107
2026-03-31,100000.0,105085.10154849607,105015.82451652976,115352.64499668009
2026-04-01,100000.0,105876.86434346407,105267.82437648502,115761.59691633905
2026-04-02,100000.0,105972.20217511042,105516.36979546197,116057.30250553403
2026-04-06,100000.0,106473.11635797747,106004.96155897579,116613.55633786018
2026-04-07,100000.0,106519.96458929259,105715.15764353996,117005.5026238523
2026-04-08,100000.0,109232.98936867333,108152.6382791104,118040.5810381519
2026-04-09,100000.0,109863.15641767615,108188.4453933063,117326.30002454424
2026-04-10,100000.0,109790.45168047477,107344.70316719738,117805.41354032718
2026-04-13,100000.0,110863.37307768961,108580.43445296983,118869.10115519374
2026-04-14,100000.0,112214.22966571002,108978.32838520154,118683.90049585544
2026-04-15,100000.0,113099.70869883859,108991.25188450931,118452.66727796115
2026-04-16,100000.0,113377.63400187899,109484.84946756343,119541.68570841798
2026-04-17,100000.0,114747.8804973728,110843.58113076014,118381.7260259808
2026-04-20,100000.0,114518.41513136815,111139.40931769258,118543.83718422624
2026-04-21,100000.0,113768.67533831851,110469.48756227661,119511.3457486283
2026-04-22,100000.0,114920.77795891273,110443.5963653427,120623.60727027238
2026-04-23,100000.0,114474.80019925945,110398.07275271346,120999.22406346626
2026-04-24,100000.0,115361.9008258738,110224.55411826508,121569.22310994202
2026-04-27,100000.0,115560.64490553483,109980.5455200151,121262.97195409636
2026-04-28,100000.0,114998.32770104117,109559.51761231001,119836.6444949307
2026-04-29,100000.0,114980.55938705355,109292.5886203495,121586.2898392565
2026-04-30,100000.0,116124.57381574913,110766.51511164813,123728.84307460151
2026-05-01,100000.0,116446.13382642856,110376.59873347441,123786.69772438939
2026-05-04,100000.0,116019.54597424867,109586.95608654729,123865.274815321
2026-05-05,100000.0,116950.28130850203,110333.32475247813,125537.0625820003
2026-05-06,100000.0,118575.82001259127,111170.42408362815,126662.6491845434
2026-05-07,100000.0,118212.25677552378,110658.93957195185,124337.68794987601
2026-05-08,100000.0,119188.22863537163,110766.52424152718,125627.43517067895
2026-05-11,100000.0,119459.6873399992,110385.00457473788,128057.73323334874
2026-05-12,100000.0,119278.71157432577,110330.3035504006,127053.68032606406
2026-05-13,100000.0,119946.05662031991,109823.25408988673,126984.73712358785
2026-05-14,100000.0,120892.94856284025,110230.79776155713,127588.134242501
2026-05-15,100000.0,119438.68572680517,109201.29260505039,126122.81170197744
2026-05-18,100000.0,119354.65949849873,110134.20720790792,124784.27002200535
2026-05-19,100000.0,118559.6634043243,109523.1467131305,124455.3304930445
2026-05-20,100000.0,119774.78075226577,110763.14364189353,125686.44760442196
2026-05-21,100000.0,120012.30464687358,111184.38095167425,126228.50484518873
2026-05-22,100000.0,120484.13891241312,112242.32831891511,127810.94261118103
2026-05-26,100000.0,121283.98989927977,112547.70907082953,129484.10645340821
2026-05-27,100000.0,121262.97839832059,112578.68423298215,128894.63641533104
2026-05-28,100000.0,121931.93515003535,112996.45289461738,129757.40538392674
2026-05-29,100000.0,122235.71695896202,113047.64964954973,130940.44408033894
2026-06-01,100000.0,122568.57868521618,113197.73915107944,132146.9759023482
2026-06-02,100000.0,122735.01943610843,113284.75937972985,133313.53514774557
2026-06-03,100000.0,121873.76542761517,112768.61855348633,133356.68169878307
2026-06-04,100000.0,122334.28808981479,113830.32327801254,132892.24087607252
2026-06-05,100000.0,119176.91703203172,112831.02560483526,129586.33891304223
2026-06-08,100000.0,119446.7541431735,112473.10999988134,130430.93813747808
2026-06-09,100000.0,119096.12410293172,113646.80877900866,129729.03013439699
2026-06-10,100000.0,117218.50671392317,112277.62035417971,128503.56256590041
2026-06-11,100000.0,119210.85184205146,113674.84993075026,130643.43418781477
2026-06-12,100000.0,119855.57368136577,114593.4145498155,131642.83382799008
2026-06-15,100000.0,121969.10325926152,114840.58455403593,132864.76313733697
2026-06-16,100000.0,121241.97678512655,114774.05593269411,131684.67939820464
2026-06-17,100000.0,119727.92263318549,112813.07216750439,131607.07454768883
2026-06-18,100000.0,120972.73293989422,113195.73685738993,132843.45126514835
2026-06-22,100000.0,120592.0342058092,113163.30861097842,133338.89827351432
2026-06-23,100000.0,118840.80223104081,113027.81668211875,131664.57763361963
2026-06-24,100000.0,118785.71749134969,113965.1843510106,131518.91391129777
2026-06-25,100000.0,118957.43830883592,114675.72189155222,132321.7812514799
2026-06-26,100000.0,118097.212627919,115470.08528029872,130759.4119988089
2026-06-29,100000.0,120042.84795344438,115518.75952033141,132787.49329290626
2026-06-30,100000.0,120977.5977203516,115266.48646242752,134045.84296850616
2026-07-01,100000.0,120813.97498252918,115831.1856677583,132224.3129771418
2026-07-02,100000.0,120655.21702516412,117007.57710501442,129726.27784958086
2026-07-06,100000.0,121708.22446335224,116902.28735773641,130739.27588965454
2026-07-07,100000.0,121129.87919153864,117058.43689265412,128710.38095530256
2026-07-08,100000.0,120755.65694363162,115605.2120462913,128963.44960787037
2026-07-09,100000.0,121777.88376888516,116174.20637607574,130473.8847115455
2026-07-10,100000.0,122302.76589449342,116654.48039520388,130064.10088127748
